Name;Platform;Year_of_Release;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Developer
Wii Sports;Wii;2006;Sports;Nintendo;41360000;28960000;3770000;8450000;82530000;7.6;51;8.0;322;Nintendo
Mario Kart Wii;Wii;2008;Racing;Nintendo;15680000;12760000;3790000;3290000;35520000;8.2;73;8.3;709;Nintendo
Wii Sports Resort;Wii;2009;Sports;Nintendo;15610000;10930000;3280000;2950000;32770000;8.0;73;8.0;192;Nintendo
New Super Mario Bros.;DS;2006;Platform;Nintendo;11280000;9140000;6500000;2880000;29800000;8.9;65;8.5;431;Nintendo
Wii Play;Wii;2006;Misc;Nintendo;13960000;9180000;2930000;2840000;28920000;5.8;41;6.6;129;Nintendo
New Super Mario Bros. Wii;Wii;2009;Platform;Nintendo;14440000;6940000;4700000;2240000;28320000;8.7;80;8.4;594;Nintendo
Mario Kart DS;DS;2005;Racing;Nintendo;9710000;7470000;4130000;1900000;23210000;9.1;64;8.6;464;Nintendo
Wii Fit;Wii;2007;Sports;Nintendo;8920000;8029999;3600000;2150000;22700000;8.0;63;7.7;146;Nintendo
Kinect Adventures!;X360;2010;Misc;Microsoft Game Studios;15000000;4890000;240000;1690000;21810000;6.1;45;6.3;106;Good Science Studio
Wii Fit Plus;Wii;2009;Sports;Nintendo;9010000;8490000;2530000;1770000;21790000;8.0;33;7.4;52;Nintendo
Grand Theft Auto V;PS3;2013;Action;Take-Two Interactive;7020000;9090000;980000;3960000;21040000;9.7;50;8.2;3994;Rockstar North
Grand Theft Auto: San Andreas;PS2;2004;Action;Take-Two Interactive;9430000;400000;410000;10570000;20810000;9.5;80;9.0;1588;Rockstar North
Brain Age: Train Your Brain in Minutes a Day;DS;2005;Misc;Nintendo;4740000;9200000;4160000;2040000;20150000;7.7;58;7.9;50;Nintendo
Grand Theft Auto V;X360;2013;Action;Take-Two Interactive;9660000;5140000;60000;1410000;16270000;9.7;58;8.1;3711;Rockstar North
Grand Theft Auto: Vice City;PS2;2002;Action;Take-Two Interactive;8410000;5490000;470000;1780000;16149999;9.5;62;8.7;730;Rockstar North
Brain Age 2: More Training in Minutes a Day;DS;2005;Puzzle;Nintendo;3430000;5350000;5320000;1180000;15290000;7.7;37;7.1;19;Nintendo
Gran Turismo 3: A-Spec;PS2;2001;Racing;Sony Computer Entertainment;6850000;5090000;1870000;1160000;14980000;9.5;54;8.4;314;Polyphony Digital
Call of Duty: Modern Warfare 3;X360;2011;Shooter;Activision;9040000;4240000;130000;1320000;14730000;8.8;81;3.4;8713;Infinity Ward, Sledgehammer Games
Call of Duty: Black Ops;X360;2010;Shooter;Activision;9700000;3680000;110000;1130000;14610000;8.7;89;6.3;1454;Treyarch
Call of Duty: Black Ops II;PS3;2012;Shooter;Activision;4990000;5730000;650000;2420000;13790000;8.3;21;5.3;922;Treyarch
Call of Duty: Black Ops II;X360;2012;Shooter;Activision;8250000;4240000;70000;1120000;13670000;8.3;73;4.8;2256;Treyarch
Call of Duty: Modern Warfare 2;X360;2009;Shooter;Activision;8520000;3590000;80000;1280000;13470000;9.4;100;6.3;2698;Infinity Ward
